scenario,n,deterministic_full,deterministic_stable,n_active_flows,n_excluded_flows,neg_rate_threshold,excluded_share_of_det_pct,full_mean,full_median,full_sd,full_p2_5,full_p97_5,full_cv_pct,full_neg_pct,stable_mean,stable_median,stable_sd,stable_p2_5,stable_p97_5,stable_cv_pct,stable_neg_pct
baseline,1000,5.2067198694733115e-06,5.141438245446365e-06,1181,43,0.01,1.2537955884604028,9.472003503322075e-06,8.918236350898378e-06,7.63076633780602e-06,-3.888909976414251e-06,2.5063057756743307e-05,80.56127022260617,9.700000000000001,8.826160285861928e-06,8.21424533172042e-06,3.1823165301116267e-06,4.8943095336085005e-06,1.6170377381243282e-05,36.05550349237572,0.0
high_yield,1000,1.9835435358327204e-05,1.956916280391223e-05,1181,40,0.01,1.3424084201065631,3.610890392062283e-05,3.3892651081267927e-05,2.9282118700393673e-05,-1.5135000071133546e-05,9.64817019505369e-05,81.09390073086604,9.9,3.358737827458533e-05,3.126785594908403e-05,1.2202858823992816e-05,1.8653954578759448e-05,6.130076307767139e-05,36.33168008598752,0.0
extensification,1000,1.9874635745409018e-05,1.9607636498222594e-05,1181,40,0.01,1.3434170598477215,3.617068183653195e-05,3.395241521520863e-05,2.932093719073896e-05,-1.5149756027541703e-05,9.664721068790077e-05,81.06271627184303,9.8,3.3647986230975065e-05,3.13219022318505e-05,1.2213826294800342e-05,1.871741132803676e-05,6.137689884509306e-05,36.29883289585025,0.0
organic_expansion,1000,5.180253445944569e-06,5.115158427799488e-06,1181,44,0.01,1.2565990993363816,9.4428236912846e-06,8.885761294453198e-06,7.639255449291724e-06,-3.942568929418313e-06,2.504267091711584e-05,80.90011737000334,9.9,8.797647752450672e-06,8.18690814357187e-06,3.182331714770455e-06,4.864136323642762e-06,1.614389870773914e-05,36.17252934324387,0.0
manufacturing_expansion,1000,5.502202977268161e-06,5.43364633279344e-06,1181,45,0.01,1.2459853763656763,9.99921075532403e-06,9.567764246324518e-06,7.94339769450052e-06,-4.017932763924473e-06,2.581199551843699e-05,79.44024672418368,10.100000000000001,9.326548756953783e-06,8.744717514058728e-06,3.321076174493531e-06,5.2410416055799935e-06,1.7221556338625183e-05,35.608843753884514,0.0
irrigation,1000,1.1492429006115745e-05,1.1339760767951251e-05,1181,42,0.01,1.3284244617325895,2.0953185536374036e-05,1.96747836625515e-05,1.6993376347980447e-05,-8.70264000782557e-06,5.5823854038185194e-05,81.10163640025287,9.9,1.9490002104375117e-05,1.813518176070182e-05,7.088774650116043e-06,1.079357910136802e-05,3.560293856156821e-05,36.37133855683245,0.0
