scenario,n,deterministic_full,deterministic_stable,n_active_flows,n_excluded_flows,excluded_share_of_det_pct,full_mean,full_median,full_sd,full_p2_5,full_p97_5,full_cv_pct,full_neg_pct,stable_mean,stable_median,stable_sd,stable_p2_5,stable_p97_5,stable_cv_pct,stable_neg_pct
baseline,1000,5.2067198694733115e-06,4.661555743016787e-06,1181,48,10.470394799858349,9.472003503322075e-06,8.918236350898378e-06,7.63076633780602e-06,-3.888909976414251e-06,2.5063057756743307e-05,80.56127022260617,9.700000000000001,7.906075822529535e-06,7.304973663516207e-06,3.102158320423242e-06,4.229308693573466e-06,1.4920404179445732e-05,39.237649499682036,0.0
high_yield,1000,1.9835435358327204e-05,1.7746674112553033e-05,1181,45,10.53045324209273,3.610890392062283e-05,3.3892651081267927e-05,2.9282118700393673e-05,-1.5135000071133546e-05,9.64817019505369e-05,81.09390073086604,9.9,3.009620969358772e-05,2.7724579049525198e-05,1.1886361156030552e-05,1.5989286175512255e-05,5.6796267631028995e-05,39.49454525020489,0.0
extensification,1000,1.9874635745409018e-05,1.7777379841723422e-05,1181,45,10.552424359123412,3.617068183653195e-05,3.395241521520863e-05,2.932093719073896e-05,-1.5149756027541703e-05,9.664721068790077e-05,81.06271627184303,9.8,3.014485558970057e-05,2.7778898827932558e-05,1.1897628052733648e-05,1.6021913393773022e-05,5.688796600649296e-05,39.46818725779083,0.0
organic_expansion,1000,5.180253445944569e-06,4.63578022894637e-06,1181,54,10.510551707164984,9.4428236912846e-06,8.885761294453198e-06,7.639255449291724e-06,-3.942568929418313e-06,2.504267091711584e-05,80.90011737000334,9.9,7.87874106353782e-06,7.278668881444871e-06,3.1021794501673135e-06,4.202914277497637e-06,1.489060188903789e-05,39.374050056346576,0.0
manufacturing_expansion,1000,5.502202977268161e-06,4.925057093063111e-06,1181,58,10.489360108841348,9.99921075532403e-06,9.567764246324518e-06,7.94339769450052e-06,-4.017932763924473e-06,2.581199551843699e-05,79.44024672418368,10.100000000000001,8.346881652079893e-06,7.74798707285691e-06,3.2428689746682766e-06,4.49942681201576e-06,1.5867122214553516e-05,38.851263380021834,0.0
irrigation,1000,1.1492429006115745e-05,1.0279306324429377e-05,1181,51,10.555842294442707,2.0953185536374036e-05,1.96747836625515e-05,1.6993376347980447e-05,-8.70264000782557e-06,5.5823854038185194e-05,81.10163640025287,9.9,1.7458613899484837e-05,1.607482825623911e-05,6.906276281250384e-06,9.27747720008524e-06,3.299810352251755e-05,39.557987369513754,0.0
